model_seed,anomaly_seed,method,alpha,precision,recall,f1,detected,true_anomalies
7,42,Robusto mediana/MAD (Student-t),0.025,0.43478260869565216,1.0,0.6060606060606061,46,20
7,42,Robusto mediana/MAD (Student-t),0.05,0.21739130434782608,1.0,0.35714285714285715,92,20
7,42,Robusto mediana/MAD (Student-t),0.1,0.08583690987124463,1.0,0.15810276679841898,233,20
7,42,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
7,42,GPD-POT (cauda),0.005,0.5555555555555556,1.0,0.7142857142857143,36,20
7,42,GPD-POT (cauda),0.01,0.4166666666666667,1.0,0.5882352941176471,48,20
7,42,GPD-POT (cauda),0.025,0.24691358024691357,1.0,0.39603960396039606,81,20
7,42,GPD-POT (cauda),0.05,0.13793103448275862,1.0,0.24242424242424243,145,20
7,42,GPD-POT (cauda),0.1,0.07142857142857142,1.0,0.13333333333333333,280,20
7,42,VAE-LSTM,0.001,0.05714285714285714,1.0,0.10810810810810811,350,20
7,42,VAE-LSTM,0.005,0.03816793893129771,1.0,0.07352941176470588,524,20
7,42,VAE-LSTM,0.01,0.032467532467532464,1.0,0.06289308176100629,616,20
7,42,VAE-LSTM,0.025,0.025906735751295335,1.0,0.050505050505050504,772,20
7,42,VAE-LSTM,0.05,0.021715526601520086,1.0,0.04250797024442083,921,20
7,42,VAE-LSTM,0.1,0.018050541516245487,1.0,0.03546099290780142,1108,20
7,43,Robusto mediana/MAD (Student-t),0.001,1.0,0.6,0.75,12,20
7,43,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
7,43,Robusto mediana/MAD (Student-t),0.01,0.8333333333333334,1.0,0.9090909090909091,24,20
7,43,Robusto mediana/MAD (Student-t),0.025,0.425531914893617,1.0,0.5970149253731343,47,20
7,43,Robusto mediana/MAD (Student-t),0.05,0.2127659574468085,1.0,0.3508771929824561,94,20
7,43,Robusto mediana/MAD (Student-t),0.1,0.08620689655172414,1.0,0.15873015873015872,232,20
7,43,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
7,43,GPD-POT (cauda),0.005,0.5405405405405406,1.0,0.7017543859649122,37,20
7,43,GPD-POT (cauda),0.01,0.40816326530612246,1.0,0.5797101449275363,49,20
7,43,GPD-POT (cauda),0.025,0.23809523809523808,1.0,0.38461538461538464,84,20
7,43,GPD-POT (cauda),0.05,0.136986301369863,1.0,0.24096385542168675,146,20
7,43,GPD-POT (cauda),0.1,0.07246376811594203,1.0,0.13513513513513514,276,20
7,43,VAE-LSTM,0.001,0.05698005698005698,1.0,0.1078167115902965,351,20
7,43,VAE-LSTM,0.005,0.03824091778202677,1.0,0.07366482504604052,523,20
7,43,VAE-LSTM,0.01,0.03316749585406302,1.0,0.06420545746388442,603,20
7,43,VAE-LSTM,0.025,0.026845637583892617,1.0,0.05228758169934641,745,20
7,43,VAE-LSTM,0.05,0.022675736961451247,1.0,0.04434589800443459,882,20
7,43,VAE-LSTM,0.1,0.0186219739292365,1.0,0.03656307129798903,1074,20
7,44,Robusto mediana/MAD (Student-t),0.001,1.0,0.95,0.9743589743589743,19,20
7,44,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
7,44,Robusto mediana/MAD (Student-t),0.01,0.8333333333333334,1.0,0.9090909090909091,24,20
7,44,Robusto mediana/MAD (Student-t),0.025,0.4166666666666667,1.0,0.5882352941176471,48,20
7,44,Robusto mediana/MAD (Student-t),0.05,0.2127659574468085,1.0,0.3508771929824561,94,20
7,44,Robusto mediana/MAD (Student-t),0.1,0.08583690987124463,1.0,0.15810276679841898,233,20
7,44,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
7,44,GPD-POT (cauda),0.005,0.5263157894736842,1.0,0.6896551724137931,38,20
7,44,GPD-POT (cauda),0.01,0.4,1.0,0.5714285714285714,50,20
7,44,GPD-POT (cauda),0.025,0.23809523809523808,1.0,0.38461538461538464,84,20
7,44,GPD-POT (cauda),0.05,0.13793103448275862,1.0,0.24242424242424243,145,20
7,44,GPD-POT (cauda),0.1,0.07168458781362007,1.0,0.13377926421404682,279,20
7,44,VAE-LSTM,0.001,0.05420054200542006,1.0,0.10282776349614396,369,20
7,44,VAE-LSTM,0.005,0.0380952380952381,1.0,0.07339449541284404,525,20
7,44,VAE-LSTM,0.01,0.033112582781456956,1.0,0.0641025641025641,604,20
7,44,VAE-LSTM,0.025,0.02656042496679947,1.0,0.0517464424320828,753,20
7,44,VAE-LSTM,0.05,0.02262443438914027,1.0,0.04424778761061947,884,20
7,44,VAE-LSTM,0.1,0.018867924528301886,1.0,0.037037037037037035,1060,20
7,45,Robusto mediana/MAD (Student-t),0.001,1.0,0.85,0.918918918918919,17,20
7,45,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
7,45,Robusto mediana/MAD (Student-t),0.01,0.8333333333333334,1.0,0.9090909090909091,24,20
7,45,Robusto mediana/MAD (Student-t),0.025,0.4166666666666667,1.0,0.5882352941176471,48,20
7,45,Robusto mediana/MAD (Student-t),0.05,0.2127659574468085,1.0,0.3508771929824561,94,20
7,45,Robusto mediana/MAD (Student-t),0.1,0.08438818565400844,1.0,0.1556420233463035,237,20
7,45,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
7,45,GPD-POT (cauda),0.005,0.5405405405405406,1.0,0.7017543859649122,37,20
7,45,GPD-POT (cauda),0.01,0.4,1.0,0.5714285714285714,50,20
7,45,GPD-POT (cauda),0.025,0.24096385542168675,1.0,0.3883495145631068,83,20
7,45,GPD-POT (cauda),0.05,0.1342281879194631,1.0,0.23668639053254437,149,20
7,45,GPD-POT (cauda),0.1,0.07092198581560284,1.0,0.13245033112582782,282,20
7,45,VAE-LSTM,0.001,0.055248618784530384,1.0,0.10471204188481675,362,20
7,45,VAE-LSTM,0.005,0.038535645472061654,1.0,0.07421150278293136,519,20
7,45,VAE-LSTM,0.01,0.033444816053511704,1.0,0.06472491909385113,598,20
7,45,VAE-LSTM,0.025,0.027855153203342618,1.0,0.05420054200542006,718,20
7,45,VAE-LSTM,0.05,0.023391812865497075,1.0,0.045714285714285714,855,20
7,45,VAE-LSTM,0.1,0.01951219512195122,1.0,0.03827751196172249,1025,20
7,46,Robusto mediana/MAD (Student-t),0.001,1.0,0.85,0.918918918918919,17,20
7,46,Robusto mediana/MAD (Student-t),0.005,0.95,0.95,0.95,20,20
7,46,Robusto mediana/MAD (Student-t),0.01,0.8333333333333334,1.0,0.9090909090909091,24,20
7,46,Robusto mediana/MAD (Student-t),0.025,0.4166666666666667,1.0,0.5882352941176471,48,20
7,46,Robusto mediana/MAD (Student-t),0.05,0.2127659574468085,1.0,0.3508771929824561,94,20
7,46,Robusto mediana/MAD (Student-t),0.1,0.08583690987124463,1.0,0.15810276679841898,233,20
7,46,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
7,46,GPD-POT (cauda),0.005,0.5263157894736842,1.0,0.6896551724137931,38,20
7,46,GPD-POT (cauda),0.01,0.4,1.0,0.5714285714285714,50,20
7,46,GPD-POT (cauda),0.025,0.24390243902439024,1.0,0.39215686274509803,82,20
7,46,GPD-POT (cauda),0.05,0.1360544217687075,1.0,0.23952095808383234,147,20
7,46,GPD-POT (cauda),0.1,0.07194244604316546,1.0,0.1342281879194631,278,20
7,46,VAE-LSTM,0.001,0.05322128851540616,0.95,0.10079575596816977,357,20
7,46,VAE-LSTM,0.005,0.03518518518518519,0.95,0.06785714285714285,540,20
7,46,VAE-LSTM,0.01,0.03015873015873016,0.95,0.05846153846153846,630,20
7,46,VAE-LSTM,0.025,0.02518891687657431,1.0,0.04914004914004914,794,20
7,46,VAE-LSTM,0.05,0.021253985122210415,1.0,0.04162330905306972,941,20
7,46,VAE-LSTM,0.1,0.017857142857142856,1.0,0.03508771929824561,1120,20
123,42,Robusto mediana/MAD (Student-t),0.001,1.0,0.95,0.9743589743589743,19,20
123,42,Robusto mediana/MAD (Student-t),0.005,0.95,0.95,0.95,20,20
123,42,Robusto mediana/MAD (Student-t),0.01,0.9090909090909091,1.0,0.9523809523809523,22,20
123,42,Robusto mediana/MAD (Student-t),0.025,0.47619047619047616,1.0,0.6451612903225806,42,20
123,42,Robusto mediana/MAD (Student-t),0.05,0.20618556701030927,1.0,0.3418803418803419,97,20
123,42,Robusto mediana/MAD (Student-t),0.1,0.1,1.0,0.18181818181818182,200,20
123,42,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
123,42,GPD-POT (cauda),0.005,0.625,1.0,0.7692307692307693,32,20
123,42,GPD-POT (cauda),0.01,0.425531914893617,1.0,0.5970149253731343,47,20
123,42,GPD-POT (cauda),0.025,0.21505376344086022,1.0,0.35398230088495575,93,20
123,42,GPD-POT (cauda),0.05,0.1360544217687075,1.0,0.23952095808383234,147,20
123,42,GPD-POT (cauda),0.1,0.07194244604316546,1.0,0.1342281879194631,278,20
123,42,VAE-LSTM,0.001,0.05063291139240506,1.0,0.0963855421686747,395,20
123,42,VAE-LSTM,0.005,0.03460207612456748,1.0,0.06688963210702341,578,20
123,42,VAE-LSTM,0.01,0.029585798816568046,1.0,0.05747126436781609,676,20
123,42,VAE-LSTM,0.025,0.023809523809523808,1.0,0.046511627906976744,840,20
123,42,VAE-LSTM,0.05,0.020512820512820513,1.0,0.04020100502512563,975,20
123,42,VAE-LSTM,0.1,0.016992353440951572,1.0,0.03341687552213868,1177,20
123,43,Robusto mediana/MAD (Student-t),0.001,1.0,0.6,0.75,12,20
123,43,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
123,43,Robusto mediana/MAD (Student-t),0.01,0.9090909090909091,1.0,0.9523809523809523,22,20
123,43,Robusto mediana/MAD (Student-t),0.025,0.46511627906976744,1.0,0.6349206349206349,43,20
123,43,Robusto mediana/MAD (Student-t),0.05,0.2,1.0,0.3333333333333333,100,20
123,43,Robusto mediana/MAD (Student-t),0.1,0.0975609756097561,1.0,0.17777777777777778,205,20
123,43,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
123,43,GPD-POT (cauda),0.005,0.6060606060606061,1.0,0.7547169811320755,33,20
123,43,GPD-POT (cauda),0.01,0.4166666666666667,1.0,0.5882352941176471,48,20
123,43,GPD-POT (cauda),0.025,0.20833333333333334,1.0,0.3448275862068966,96,20
123,43,GPD-POT (cauda),0.05,0.13245033112582782,1.0,0.23391812865497075,151,20
123,43,GPD-POT (cauda),0.1,0.07194244604316546,1.0,0.1342281879194631,278,20
123,43,VAE-LSTM,0.001,0.04914004914004914,1.0,0.0936768149882904,407,20
123,43,VAE-LSTM,0.005,0.034722222222222224,1.0,0.06711409395973154,576,20
123,43,VAE-LSTM,0.01,0.030257186081694403,1.0,0.05873715124816446,661,20
123,43,VAE-LSTM,0.025,0.024539877300613498,1.0,0.04790419161676647,815,20
123,43,VAE-LSTM,0.05,0.021505376344086023,1.0,0.042105263157894736,930,20
123,43,VAE-LSTM,0.1,0.017793594306049824,1.0,0.03496503496503497,1124,20
123,44,Robusto mediana/MAD (Student-t),0.001,1.0,0.95,0.9743589743589743,19,20
123,44,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
123,44,Robusto mediana/MAD (Student-t),0.01,0.9090909090909091,1.0,0.9523809523809523,22,20
123,44,Robusto mediana/MAD (Student-t),0.025,0.45454545454545453,1.0,0.625,44,20
123,44,Robusto mediana/MAD (Student-t),0.05,0.20202020202020202,1.0,0.33613445378151263,99,20
123,44,Robusto mediana/MAD (Student-t),0.1,0.09852216748768473,1.0,0.17937219730941703,203,20
123,44,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
123,44,GPD-POT (cauda),0.005,0.5882352941176471,1.0,0.7407407407407407,34,20
123,44,GPD-POT (cauda),0.01,0.4166666666666667,1.0,0.5882352941176471,48,20
123,44,GPD-POT (cauda),0.025,0.21052631578947367,1.0,0.34782608695652173,95,20
123,44,GPD-POT (cauda),0.05,0.1342281879194631,1.0,0.23668639053254437,149,20
123,44,GPD-POT (cauda),0.1,0.07168458781362007,1.0,0.13377926421404682,279,20
123,44,VAE-LSTM,0.001,0.04926108374384237,1.0,0.09389671361502347,406,20
123,44,VAE-LSTM,0.005,0.03484320557491289,1.0,0.06734006734006734,574,20
123,44,VAE-LSTM,0.01,0.029717682020802376,1.0,0.05772005772005772,673,20
123,44,VAE-LSTM,0.025,0.024509803921568627,1.0,0.04784688995215311,816,20
123,44,VAE-LSTM,0.05,0.02127659574468085,1.0,0.041666666666666664,940,20
123,44,VAE-LSTM,0.1,0.01763668430335097,1.0,0.03466204506065858,1134,20
123,45,Robusto mediana/MAD (Student-t),0.001,1.0,0.9,0.9473684210526315,18,20
123,45,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
123,45,Robusto mediana/MAD (Student-t),0.01,0.9090909090909091,1.0,0.9523809523809523,22,20
123,45,Robusto mediana/MAD (Student-t),0.025,0.46511627906976744,1.0,0.6349206349206349,43,20
123,45,Robusto mediana/MAD (Student-t),0.05,0.2,1.0,0.3333333333333333,100,20
123,45,Robusto mediana/MAD (Student-t),0.1,0.09569377990430622,1.0,0.17467248908296942,209,20
123,45,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
123,45,GPD-POT (cauda),0.005,0.6060606060606061,1.0,0.7547169811320755,33,20
123,45,GPD-POT (cauda),0.01,0.4166666666666667,1.0,0.5882352941176471,48,20
123,45,GPD-POT (cauda),0.025,0.20833333333333334,1.0,0.3448275862068966,96,20
123,45,GPD-POT (cauda),0.05,0.12987012987012986,1.0,0.22988505747126436,154,20
123,45,GPD-POT (cauda),0.1,0.0711743772241993,1.0,0.132890365448505,281,20
123,45,VAE-LSTM,0.001,0.04926108374384237,1.0,0.09389671361502347,406,20
123,45,VAE-LSTM,0.005,0.034904013961605584,1.0,0.06745362563237774,573,20
123,45,VAE-LSTM,0.01,0.030257186081694403,1.0,0.05873715124816446,661,20
123,45,VAE-LSTM,0.025,0.02481389578163772,1.0,0.048426150121065374,806,20
123,45,VAE-LSTM,0.05,0.021645021645021644,1.0,0.0423728813559322,924,20
123,45,VAE-LSTM,0.1,0.017953321364452424,1.0,0.03527336860670194,1114,20
123,46,Robusto mediana/MAD (Student-t),0.001,1.0,0.9,0.9473684210526315,18,20
123,46,Robusto mediana/MAD (Student-t),0.005,0.95,0.95,0.95,20,20
123,46,Robusto mediana/MAD (Student-t),0.01,0.9090909090909091,1.0,0.9523809523809523,22,20
123,46,Robusto mediana/MAD (Student-t),0.025,0.45454545454545453,1.0,0.625,44,20
123,46,Robusto mediana/MAD (Student-t),0.05,0.19607843137254902,1.0,0.32786885245901637,102,20
123,46,Robusto mediana/MAD (Student-t),0.1,0.0975609756097561,1.0,0.17777777777777778,205,20
123,46,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
123,46,GPD-POT (cauda),0.005,0.5882352941176471,1.0,0.7407407407407407,34,20
123,46,GPD-POT (cauda),0.01,0.40816326530612246,1.0,0.5797101449275363,49,20
123,46,GPD-POT (cauda),0.025,0.20408163265306123,1.0,0.3389830508474576,98,20
123,46,GPD-POT (cauda),0.05,0.13245033112582782,1.0,0.23391812865497075,151,20
123,46,GPD-POT (cauda),0.1,0.07168458781362007,1.0,0.13377926421404682,279,20
123,46,VAE-LSTM,0.001,0.046798029556650245,0.95,0.0892018779342723,406,20
123,46,VAE-LSTM,0.005,0.03333333333333333,0.95,0.06440677966101695,570,20
123,46,VAE-LSTM,0.01,0.02967359050445104,1.0,0.05763688760806916,674,20
123,46,VAE-LSTM,0.025,0.023781212841854936,1.0,0.04645760743321719,841,20
123,46,VAE-LSTM,0.05,0.020366598778004074,1.0,0.03992015968063872,982,20
123,46,VAE-LSTM,0.1,0.017123287671232876,1.0,0.03367003367003367,1168,20
