idx,scenario,p_good,p_suspect,p_bad
1031,B,0.19941792,0.80056155,2.0535053e-05
1087,A,0.01151349,0.6529409,0.3355456
1087,B,0.0076160445,0.7533031,0.23908086
342,A,0.0055370783,0.56231993,0.43214303
342,B,0.005160882,0.68341476,0.31142434
1197,A,0.00013936216,0.02413665,0.97572404
1197,B,0.00016938704,0.040368337,0.9594622
589,A,0.08223334,0.8452408,0.072525874
589,B,0.060397975,0.89807963,0.041522447
29,A,0.00082627026,0.098862275,0.90031147
29,B,0.00079511,0.12739092,0.8718139
1643,A,0.0009161095,0.113626234,0.88545763
1643,B,0.0009817828,0.18268214,0.81633604
417,A,0.055118676,0.94473433,0.0001470297
417,B,0.04701232,0.9528941,9.3600625e-05
695,A,0.00019255085,0.048077513,0.95172995
695,B,0.00018159265,0.05496936,0.9448491
237,A,0.00038243452,0.0948083,0.9048092
237,B,0.00038204357,0.11765603,0.88196194
1455,A,0.013222245,0.4735607,0.5132171
1455,B,0.009511536,0.5757716,0.41471696
559,A,0.0044148453,0.46721193,0.52837324
559,B,0.0032540334,0.587288,0.40945798
1646,A,0.0023793573,0.13484776,0.8627729
1646,B,0.0023288184,0.25476432,0.74290687
1387,A,0.009591771,0.54779077,0.44261745
1387,B,0.008885663,0.6746902,0.31642416
969,A,3.5189674e-05,0.0064524803,0.99351233
969,B,4.758056e-05,0.010009862,0.98994255
1086,A,0.0048369165,0.5021251,0.49303797
1086,B,0.0035809756,0.60458595,0.3918331
813,A,7.779192e-05,0.018690176,0.9812321
813,B,9.302271e-05,0.024587097,0.97531986
125,A,7.7865756e-05,0.014862959,0.98505914
125,B,9.240363e-05,0.026795937,0.97311157
330,A,0.036226176,0.7406938,0.22307996
330,B,0.02335316,0.8153165,0.16133036
222,A,0.0109457895,0.4682137,0.5208406
222,B,0.007915981,0.6084314,0.38365257
606,A,0.003645269,0.21304445,0.78331023
606,B,0.0036306307,0.3437925,0.6525769
723,A,5.4182292e-05,0.010434355,0.98951155
723,B,6.505494e-05,0.018530525,0.98140436
1678,A,0.00018431239,0.04310838,0.95670736
1678,B,0.00020767262,0.055010222,0.94478214
197,A,0.00077752233,0.0822252,0.9169972
197,B,0.00085836876,0.14134602,0.8577956
1211,A,0.0013316314,0.12871808,0.8699504
1211,B,0.000686044,0.15500931,0.8443047
74,A,5.3499338e-05,0.007786344,0.99216014
74,B,7.6477445e-05,0.012891718,0.9870319
763,A,0.0007371193,0.08035623,0.9189067
763,B,0.00070142973,0.10816913,0.8911295
386,A,0.17702572,0.8229141,6.0158036e-05
386,B,0.2631223,0.7368373,4.039268e-05
246,A,0.00075169565,0.08777606,0.91147226
246,B,0.0008518808,0.14218141,0.85696673
1624,A,0.00025184843,0.02937654,0.97037166
1624,B,0.0002921543,0.039749205,0.9599586
1564,A,0.00019357285,0.04994905,0.94985735
1564,B,0.00021898215,0.07733788,0.9224432
945,A,8.637801e-05,0.015653124,0.9842605
945,B,0.00013290146,0.029135415,0.9707317
633,A,4.2253476e-05,0.032895006,0.96706265
633,B,4.262249e-05,0.03934772,0.96060973
183,A,0.00079826213,0.09345435,0.90574735
183,B,0.0008411684,0.14525743,0.8539013
45,A,0.0004719781,0.08588374,0.9136443
45,B,0.00044446974,0.10973562,0.8898199
890,A,0.00012925995,0.025186578,0.97468424
890,B,0.00013359217,0.026626041,0.9732404
227,A,0.0006243826,0.17419654,0.82517916
227,B,0.00061994186,0.23209713,0.7672829
785,A,0.00050375424,0.07230498,0.92719126
785,B,0.00057526294,0.12048211,0.87894267
740,A,4.11251e-05,0.013349283,0.9866095
740,B,4.510119e-05,0.013368847,0.9865861
1469,A,0.0014224859,0.13662717,0.8619504
1469,B,0.0014866191,0.2154633,0.78305006
661,A,0.064660564,0.83628047,0.09905901
661,B,0.048875924,0.8911532,0.059970845
369,A,0.0014452385,0.24796925,0.7505855
369,B,0.0013171119,0.27977946,0.7189034
672,A,0.021689156,0.5089821,0.46932864
672,B,0.015879784,0.61553943,0.3685808
1541,A,0.00013757696,0.026744705,0.97311765
1541,B,0.00015975082,0.040303953,0.9595362
584,A,0.17553392,0.82336766,0.0010984811
584,B,0.14445238,0.85499394,0.00055368745
171,A,0.017513623,0.8139321,0.16855429
171,B,0.014824768,0.87505853,0.11011667
728,A,5.3484582e-05,0.0086103715,0.9913361
728,B,6.157845e-05,0.011544008,0.9883944
855,A,0.000861179,0.0928475,0.9062913
855,B,0.0010207974,0.15442118,0.844558
908,A,0.00018198487,0.039853215,0.95996475
908,B,0.00016687118,0.046756484,0.95307666
724,A,5.6199788e-05,0.009430835,0.99051297
724,B,7.1796465e-05,0.016381346,0.983547
22,A,0.00039704388,0.11206297,0.88754
22,B,0.00051235093,0.15992543,0.83956224
909,A,0.00046560564,0.052400213,0.94713414
909,B,0.000557292,0.06667861,0.9327641
1018,A,0.12731549,0.87242645,0.00025802958
1018,B,0.08621783,0.9136306,0.00015156438
714,A,0.00011807027,0.020561337,0.97932065
714,B,0.000131173,0.025705507,0.9741633
1149,A,0.002440602,0.14494205,0.8526174
1149,B,0.0022100946,0.16929677,0.8284931
268,A,0.00021140497,0.032016788,0.9677719
268,B,0.00022538664,0.04471818,0.9550564
17,A,0.0029980298,0.1684761,0.82852584
17,B,0.0029383302,0.23267703,0.7643847
1669,A,0.00030142858,0.039282113,0.9604165
1669,B,0.00038207148,0.05717067,0.94244725
494,A,0.0003646032,0.1133883,0.8862471
494,B,0.00045946313,0.19950907,0.8000314
1002,A,7.4722564e-05,0.07190429,0.9280211
1002,B,9.199857e-05,0.0666217,0.9332863
1298,A,0.0001961297,0.040006943,0.95979697
1298,B,0.0002588136,0.07742035,0.9223209
1531,A,0.0026853643,0.22065493,0.77665967
1531,B,0.0024490221,0.3303136,0.66723746
336,A,0.018698232,0.62437534,0.35692644
336,B,0.013208,0.71777964,0.2690124
877,A,7.597135e-05,0.018409817,0.9815143
877,B,7.704131e-05,0.023191594,0.9767313
1320,A,0.0003525455,0.06688,0.93276745
1320,B,0.00038467624,0.0892823,0.910333
1358,A,8.401093e-05,0.040179063,0.959737
1358,B,7.1623945e-05,0.034372903,0.9655555
630,A,0.0007145066,0.07981517,0.9194703
630,B,0.0008291997,0.124683805,0.87448704
1362,A,0.00016394508,0.09157681,0.9082593
1362,B,0.00019133912,0.12203548,0.87777317
1599,A,0.000931074,0.113852814,0.8852161
1599,B,0.0009838357,0.1538587,0.8451575
1067,A,0.123206966,0.8194695,0.05732354
1067,B,0.081565626,0.8798214,0.03861301
1375,A,0.02023619,0.9413537,0.03841013
1375,B,0.015621162,0.9552783,0.029100562
1198,A,0.00033059364,0.037286293,0.96238303
1198,B,0.0004118562,0.055089947,0.9444982
1261,A,2.3493401e-05,0.0036407998,0.9963356
1261,B,3.314317e-05,0.0061232364,0.99384356
525,A,0.0018082667,0.20584923,0.79234254
525,B,0.0019791457,0.32287344,0.6751474
848,A,0.0008907096,0.09698669,0.9021227
848,B,0.000961187,0.10384885,0.89519
1495,A,0.00019338352,0.041132834,0.95867383
1495,B,0.00022464013,0.058509912,0.9412654
1699,A,0.00072841527,0.35370946,0.6455622
1699,B,0.00068937265,0.4637438,0.53556687
1521,A,0.00043094193,0.062202834,0.9373662
1521,B,0.0003853087,0.068949126,0.93066555
883,A,5.759735e-05,0.015358247,0.98458415
883,B,6.829735e-05,0.020160591,0.9797711
1181,A,5.065269e-05,0.015857382,0.9840919
1181,B,5.7453923e-05,0.027175669,0.97276694
1671,A,3.7162357e-05,0.019648531,0.98031425
1671,B,4.7348225e-05,0.028492125,0.9714605
993,A,1.0714023e-05,0.0030314596,0.9969579
993,B,8.6197715e-06,0.002497108,0.99749434
442,A,0.008765551,0.9780285,0.013205964
442,B,0.007901381,0.98358095,0.0085176565
439,A,0.10449114,0.89536417,0.0001446893
439,B,0.0927209,0.90720516,7.394112e-05
711,A,0.00011353148,0.018168215,0.9817183
711,B,0.00013984148,0.028065113,0.9717951
822,A,6.108789e-05,0.012845349,0.9870936
822,B,6.282534e-05,0.016533207,0.983404
19,A,0.0008312738,0.1214909,0.87767786
19,B,0.00082856277,0.17680594,0.82236546
292,A,0.00047374432,0.074311644,0.9252146
292,B,0.00046438174,0.09312997,0.9064056
591,A,0.10798943,0.8130615,0.07894914
591,B,0.06654153,0.8836187,0.049839716
880,A,7.07135e-05,0.013775893,0.98615336
880,B,8.2513514e-05,0.018777248,0.98114026
545,A,0.056353286,0.7660163,0.17763035
545,B,0.04300438,0.84195924,0.11503643
1337,A,0.0001443548,0.021899723,0.97795594
1337,B,0.00016174087,0.027863352,0.9719749
1405,A,0.15622649,0.8387405,0.005032952
1405,B,0.11817921,0.8785997,0.0032210788
1576,A,0.0026481561,0.15397853,0.84337324
1576,B,0.0025504674,0.21002372,0.7874258
1434,A,0.023340251,0.65381503,0.3228447
1434,B,0.016554687,0.7579717,0.22547352
802,A,0.00016252589,0.02182899,0.9780085
802,B,0.00016849817,0.024767887,0.9750635
1613,A,0.0001592759,0.033728193,0.9661125
1613,B,0.00018292651,0.059711915,0.94010514
1008,A,0.0046290224,0.4956427,0.49972835
1008,B,0.003084594,0.61304414,0.38387126
1294,A,0.0006895651,0.06876412,0.93054634
1294,B,0.0007111117,0.09705055,0.90223837
243,A,0.00047141153,0.07571335,0.9238152
243,B,0.00042732718,0.0867055,0.9128671
1304,A,0.00022914934,0.035131447,0.96463937
1304,B,0.00029609434,0.053320516,0.9463834
196,A,0.0005013051,0.0787319,0.9207668
196,B,0.00056615134,0.11808823,0.8813455
1291,A,0.0020818424,0.13266127,0.8652569
1291,B,0.0023609505,0.19136938,0.8062696
562,A,0.0024665513,0.4432089,0.55432457
562,B,0.0021963716,0.61320126,0.38460237
160,A,0.029200926,0.9357526,0.035046574
160,B,0.022590825,0.95554847,0.021860706
