idx,sign,k,p_bad
440,1,1.0,3.5630492e-07
440,-1,1.0,1.6584e-07
440,1,2.0,4.544667e-06
440,-1,2.0,1.7154673e-06
440,1,3.0,4.7675552e-05
440,-1,3.0,3.3393324e-05
440,1,4.0,0.0005454415
440,-1,4.0,0.0005038897
440,1,6.0,0.054326195
440,-1,6.0,0.014898581
901,1,0.5,0.062210705
901,-1,0.5,0.30399144
901,1,1.0,0.5179743
901,-1,1.0,0.8742973
901,1,2.0,0.85049224
901,-1,2.0,0.9882783
901,1,3.0,0.9384408
901,-1,3.0,0.9882783
901,1,4.0,0.97284657
901,-1,4.0,0.9882783
901,1,6.0,0.9944102
901,-1,6.0,0.9882783
1397,1,0.5,2.432926e-06
1397,-1,0.5,8.758897e-06
1397,1,1.0,6.97251e-06
1397,-1,1.0,3.6219553e-05
1397,1,2.0,0.00016904114
1397,-1,2.0,0.0006989431
1397,1,3.0,0.0014465208
1397,-1,3.0,0.013596619
1397,1,4.0,0.0095741525
1397,-1,4.0,0.19178067
1397,1,6.0,0.20501746
1397,-1,6.0,0.19178067
1022,1,0.5,9.6056025e-09
1022,-1,0.5,2.5019707e-08
1022,1,1.0,2.5609049e-08
1022,-1,1.0,1.14728486e-07
1022,1,2.0,2.923712e-07
1022,-1,2.0,1.6536345e-06
1022,1,3.0,3.179179e-06
1022,-1,3.0,2.3778592e-05
1022,1,4.0,2.4551335e-05
1022,-1,4.0,0.00042314696
1022,1,6.0,0.0016709799
1022,-1,6.0,0.0063852365
1165,1,0.5,0.4892459
1165,-1,0.5,0.27615234
1165,1,1.0,0.80805194
1165,-1,1.0,0.7737245
1165,1,2.0,0.92497975
1165,-1,2.0,0.9809702
1165,1,3.0,0.96781564
1165,-1,3.0,0.9809702
1165,1,4.0,0.98330414
1165,-1,4.0,0.9809702
1165,1,6.0,0.99615175
1165,-1,6.0,0.9809702
802,1,0.5,0.2877396
802,-1,0.5,0.64668286
802,1,1.0,0.7938363
802,-1,1.0,0.9344785
802,1,2.0,0.93857944
802,-1,2.0,0.98059076
802,1,3.0,0.9780085
802,-1,3.0,0.98059076
802,1,4.0,0.9912553
802,-1,4.0,0.98059076
802,1,6.0,0.99795234
802,-1,6.0,0.98059076
1638,1,0.5,0.32124186
1638,-1,0.5,0.099152155
1638,1,1.0,0.69160587
1638,-1,1.0,0.5744193
1638,1,2.0,0.87522674
1638,-1,2.0,0.9800331
1638,1,3.0,0.9462552
1638,-1,3.0,0.9800331
1638,1,4.0,0.97520965
1638,-1,4.0,0.9800331
1638,1,6.0,0.99458176
1638,-1,6.0,0.9800331
405,1,0.5,3.0009429e-07
405,-1,0.5,3.7439762e-07
405,1,1.0,2.1711073e-06
405,-1,1.0,7.785812e-07
405,1,2.0,5.0765288e-05
405,-1,2.0,4.648148e-06
405,1,3.0,0.00059083436
405,-1,3.0,4.7703288e-05
405,1,4.0,0.005344301
405,-1,4.0,0.0008305852
405,1,6.0,0.13072567
405,-1,6.0,0.009879927
126,1,0.5,0.13786437
126,-1,0.5,0.40098923
126,1,1.0,0.77997094
126,-1,1.0,0.889299
126,1,2.0,0.9552324
126,-1,2.0,0.926937
126,1,3.0,0.98474264
126,-1,3.0,0.926937
126,1,4.0,0.9924395
126,-1,4.0,0.926937
126,1,6.0,0.9978689
126,-1,6.0,0.926937
1132,1,0.5,0.09443455
1132,-1,0.5,0.07518684
1132,1,1.0,0.38487422
1132,-1,1.0,0.28684592
1132,1,2.0,0.7709499
1132,-1,2.0,0.9387851
1132,1,3.0,0.9070166
1132,-1,3.0,0.9387851
1132,1,4.0,0.958035
1132,-1,4.0,0.9387851
