variable,year,N,SUSPECT,BAD,Q_median,Q_p95,BAD (%),SUSPECT (%)
Avg_W_Tmp1,2024,16247,16,8,0.0,0.06666666666667614,0.04923985966639995,0.0984797193327999
Avg_W_Tmp1,2025,16604,18,15,0.0,0.061808088818396396,0.09033967718622019,0.10840761262346423
Avg_W_Tmp1,2026,9512,11,7,0.0,0.0625000000000018,0.07359125315391085,0.11564339781328847
Avg_W_Tmp2,2019,6701,3,2,0.0,0.04761904761905487,0.029846291598268914,0.04476943739740337
Avg_W_Tmp2,2020,17073,9,4,0.0,0.055555555555554456,0.023428805716628594,0.05271481286241434
Avg_W_Tmp2,2021,16775,17,3,0.0,0.0488202545068981,0.01788375558867362,0.10134128166915052
Avg_W_Tmp2,2022,15043,11,2,0.0,0.06775852218624906,0.013295220368277605,0.07312371202552682
Avg_W_Tmp2,2023,16273,14,3,0.0,0.049629629629627414,0.018435445216001968,0.08603207767467584
Avg_W_Tmp2,2024,13724,7,4,0.0,0.05263157894735858,0.02914602156805596,0.05100553774409793
Avg_W_Tmp2,2025,16603,14,9,0.0,0.05192566054634936,0.05420707101126303,0.08432211046196471
Avg_W_Tmp2,2026,9512,5,3,0.0,0.054275184275184206,0.03153910849453322,0.052565180824222034
Avg_Turb,2019,6689,56,68,0.0,0.181818181818182,1.016594408730752,0.8371953954253252
Avg_Turb,2020,17050,129,340,0.0,0.2187499999999999,1.9941348973607038,0.7565982404692082
Avg_Turb,2021,16770,109,435,0.0,0.22683936825885906,2.59391771019678,0.6499701848539058
Avg_Turb,2022,15021,86,257,0.0,0.16666666666666682,1.710938020105186,0.5725317888289728
Avg_Turb,2023,16278,99,304,0.0,0.19999999999999984,1.8675512962280378,0.6081828234426834
Avg_Turb,2024,16203,116,452,0.0,0.24519916142557624,2.7896068629266186,0.7159168055298402
Avg_Turb,2025,13707,76,309,0.0,0.19999999999999912,2.2543226088859707,0.5544612241920187
Avg_Turb,2026,9509,56,273,0.0,0.22937062937063038,2.8709643495635713,0.5889157640130402
Avg_Chl,2019,6689,14,15,0.0,0.12499999999999997,0.22424876663178353,0.2092988488563313
Avg_Chl,2020,17050,90,146,0.0,0.16666666666666682,0.8563049853372434,0.5278592375366569
Avg_Chl,2021,16770,70,47,0.0,0.13636363636363624,0.2802623732856291,0.41741204531902204
Avg_Chl,2022,15021,40,35,0.0,0.1176470588235295,0.23300712336062845,0.26629385526928967
Avg_Chl,2023,16278,46,58,0.0,0.12500000000000008,0.3563091288856125,0.28258999877134783
Avg_Chl,2024,16203,60,88,0.0,0.1272438672438669,0.5431093007467753,0.37030179596371043
Avg_Chl,2025,13707,32,36,0.0,0.11111111111111001,0.262639527248851,0.23345735755453417
Avg_Chl,2026,9509,26,41,0.0,0.13112128146453142,0.4311704700809759,0.27342517614891154
Avg_CDOM,2019,6689,6,4,0.0,0.07076411960132793,0.05979967110180894,0.08969950665271341
Avg_CDOM,2020,17050,56,106,0.0,0.09574468085106382,0.6217008797653959,0.3284457478005865
Avg_CDOM,2021,16770,46,70,0.0,0.08333333333333341,0.41741204531902204,0.2742993440667859
Avg_CDOM,2022,15021,18,33,0.0,0.06521739130434788,0.21969243059716398,0.11983223487118035
Avg_CDOM,2023,16278,54,122,0.0,0.08333333333333337,0.7494778228283573,0.3317360855141909
Avg_CDOM,2024,16203,63,196,0.0,0.10000000000000009,1.209652533481454,0.38881688576189594
Avg_CDOM,2025,13707,56,82,0.0,0.06666666666666672,0.5982344787334939,0.4085503757204348
Avg_CDOM,2026,9509,41,119,0.0,0.09578754578754616,1.2514459985277107,0.4311704700809759
