variable,month,N,SUSPECT,BAD,Q_median,Q_p95,BAD (%),SUSPECT (%)
HM0,1,8540,24,5,0.0,0.15384615384615377,0.0585480093676815,0.2810304449648712
HM0,2,7897,27,5,0.0,0.15384615384615397,0.06331518298087882,0.3419019880967456
HM0,3,8078,25,5,0.0,0.16666666666666682,0.06189650903689032,0.3094825451844516
HM0,4,6814,21,6,0.0,0.14285714285714296,0.0880540064572938,0.30818902260052833
HM0,5,7102,16,3,0.0,0.14809368191721126,0.042241622078287806,0.22528865108420162
HM0,6,8147,20,3,0.0,0.14285714285714296,0.03682337056585246,0.24548913710568307
HM0,7,8301,22,8,0.0,0.16666666666666644,0.09637393085170462,0.26502830984218767
HM0,8,9775,31,6,0.0,0.15384615384615397,0.061381074168797956,0.3171355498721228
HM0,9,8249,30,2,0.0,0.16666666666666682,0.024245363074312038,0.3636804461146806
HM0,10,8383,34,8,0.0,0.16666666666666674,0.09543122986997495,0.40558272694739356
HM0,11,7641,33,6,0.0,0.16666666666666663,0.0785237534354142,0.43188064389477815
HM0,12,8306,25,1,0.0,0.16666666666666635,0.012039489525644112,0.30098723814110284
Avg_Sal,1,9960,47,30,0.0,0.09523809523807675,0.30120481927710846,0.4718875502008032
Avg_Sal,2,9164,34,29,0.0,0.08191702910672057,0.31645569620253167,0.37101702313400264
Avg_Sal,3,9535,15,14,0.0,0.05263157894737747,0.14682747771368643,0.15731515469323545
Avg_Sal,4,8995,14,19,0.0,0.05660377358490768,0.2112284602556976,0.1556420233463035
Avg_Sal,5,9904,5,8,0.0,0.04596119371507558,0.08077544426494346,0.05048465266558966
Avg_Sal,6,9543,4,3,0.0,0.03960396039603884,0.03143665513989312,0.04191554018652415
Avg_Sal,7,9451,5,2,0.0,0.03726851851852839,0.021161781822029414,0.05290445455507354
Avg_Sal,8,9880,3,4,0.0,0.03106560559006418,0.04048582995951417,0.030364372469635626
Avg_Sal,9,9545,2,7,0.0,0.03333333333334762,0.07333682556312206,0.020953378732320588
Avg_Sal,10,9842,8,6,0.0,0.03333333333334991,0.0609632188579557,0.0812842918106076
Avg_Sal,11,8995,5,14,0.0,0.04999999999999112,0.1556420233463035,0.055586436909394105
Avg_Sal,12,9721,8,8,0.0,0.07317073170732045,0.08229606007612386,0.08229606007612386
Avg_DO,1,9939,16,13,0.0,0.1000000000000009,0.13079786698863063,0.1609819901398531
Avg_DO,2,9162,14,14,0.0,0.11359970674486684,0.15280506439642,0.15280506439642
Avg_DO,3,9440,36,16,0.0,0.1153846153846131,0.1694915254237288,0.3813559322033898
Avg_DO,4,8979,32,20,0.0,0.13333333333333022,0.22274195344693173,0.3563871255150908
Avg_DO,5,9883,47,14,0.0,0.13456848030018714,0.14165739148031975,0.4755640999696448
Avg_DO,6,9521,22,15,0.0,0.13513513513513598,0.1575464762104821,0.23106816510870706
Avg_DO,7,9413,28,9,0.0,0.12499999999999778,0.09561245086582386,0.2974609582492298
Avg_DO,8,9854,28,15,0.0,0.12500000000000003,0.15222244773695962,0.2841485691089913
Avg_DO,9,9508,28,9,0.0,0.12499999999999722,0.09465713083718974,0.2944888514934792
Avg_DO,10,9775,18,14,0.0,0.1074324324324323,0.1432225063938619,0.18414322250639387
Avg_DO,11,8969,20,13,0.0,0.12397959183673402,0.1449436949492697,0.2229902999219534
Avg_DO,12,9677,12,5,0.0,0.09090909090909165,0.05166890565257828,0.12400537356618786
Avg_W_Tmp1,1,9943,5,2,0.0,0.04166666666666517,0.02011465352509303,0.05028663381273257
Avg_W_Tmp1,2,9154,2,2,0.0,0.03571428571428489,0.021848372296263928,0.021848372296263928
Avg_W_Tmp1,3,9496,3,1,0.0,0.040000000000000924,0.010530749789385004,0.03159224936815501
Avg_W_Tmp1,4,8969,8,5,0.0,0.06666666666667341,0.05574757498048835,0.08919611996878135
Avg_W_Tmp1,5,9890,22,12,0.0,0.09574175824175388,0.12133468149646107,0.2224469160768453
Avg_W_Tmp1,6,9531,19,10,0.0,0.10582306830907931,0.10492078480747036,0.19934949113419367
Avg_W_Tmp1,7,9417,24,6,0.0,0.10381125226860335,0.06371455877668047,0.2548582351067219
Avg_W_Tmp1,8,9851,14,10,0.0,0.11111111111108918,0.10151253679829458,0.14211755151761243
Avg_W_Tmp1,9,9520,11,8,0.0,0.0714285714285823,0.08403361344537816,0.11554621848739496
Avg_W_Tmp1,10,9778,2,5,0.0,0.03905308464849269,0.0511352014726938,0.020454080589077522
Avg_W_Tmp1,11,8974,5,2,0.0,0.03544117647058894,0.022286605749944285,0.05571651437486071
Avg_W_Tmp1,12,9705,12,2,0.0,0.04335403726707794,0.020607934054611025,0.12364760432766615
Avg_W_Tmp2,1,9945,4,0,0.0,0.03846153846154337,0.0,0.04022121669180493
Avg_W_Tmp2,2,9154,2,1,0.0,0.030824742268040054,0.010924186148131964,0.021848372296263928
Avg_W_Tmp2,3,9495,4,0,0.0,0.03448275862069515,0.0,0.042127435492364404
Avg_W_Tmp2,4,8966,6,1,0.0,0.05473225404732214,0.01115324559446799,0.06691947356680794
Avg_W_Tmp2,5,9864,15,8,0.0,0.09090909090907329,0.08110300081103,0.15206812652068127
Avg_W_Tmp2,6,9530,9,6,0.0,0.09523809523809282,0.06295907660020986,0.0944386149003148
Avg_W_Tmp2,7,8042,13,2,0.0,0.09090909090910544,0.02486943546381497,0.16165133051479733
Avg_W_Tmp2,8,8732,14,3,0.0,0.09090909090908944,0.03435639028859368,0.1603298213467705
Avg_W_Tmp2,9,9522,8,6,0.0,0.06250000000000971,0.0630119722747322,0.08401596303297626
Avg_W_Tmp2,10,9779,1,2,0.0,0.03658536585365601,0.020451988955925964,0.010225994477962982
Avg_W_Tmp2,11,8970,1,1,0.0,0.030473098330242084,0.011148272017837236,0.011148272017837236
Avg_W_Tmp2,12,9705,3,0,0.0,0.03787878787878841,0.0,0.030911901081916538
